Date,Close,p_up_next_5d,signal
2025-01-01,20776.486328125,0.535678905068889,HOLD
2025-01-02,20766.845703125,0.5057265611310067,HOLD
2025-01-05,20747.5625,0.5607108092768323,BUY
2025-01-06,21007.87109375,0.5297006000760508,HOLD
2025-01-07,21354.94921875,0.5058287274332556,HOLD
2025-01-08,21403.154296875,0.49161782584415503,HOLD
2025-01-09,21788.796875,0.46958538836676356,HOLD
2025-01-12,22135.875,0.5030342151530912,HOLD
2025-01-13,22367.26171875,0.5281543705418453,HOLD
2025-01-14,22550.44140625,0.5233870618005991,HOLD
2025-01-15,22367.26171875,0.5260512801530922,HOLD
2025-01-16,22887.87890625,0.49204694574685,HOLD
2025-01-19,23186.751953125,0.5089102093695759,HOLD
2025-01-20,23003.5703125,0.5045382727994764,HOLD
2025-01-21,23138.546875,0.5075583024794449,HOLD
2025-01-22,22608.287109375,0.5006675843835944,HOLD
2025-01-23,23042.134765625,0.493343642439521,HOLD
2025-01-26,23128.904296875,0.5299810284378299,HOLD
2025-01-27,23013.212890625,0.5366212824256554,HOLD
2025-01-28,23013.212890625,0.5429800524490265,HOLD
2025-01-29,23234.95703125,0.5323926595750509,HOLD
2025-01-30,23475.982421875,0.5284324784160976,HOLD
2025-02-02,22993.9296875,0.5264619841234002,HOLD
2025-02-03,22916.80078125,0.5458501893008094,HOLD
2025-02-04,22704.69921875,0.5831063000394276,BUY
2025-02-05,24102.65234375,0.5285088506592305,HOLD
2025-02-06,23909.830078125,0.49213193166236,HOLD
2025-02-09,23794.138671875,0.47529584921912504,HOLD
2025-02-10,23697.7265625,0.5046356013059343,HOLD
2025-02-11,23851.984375,0.4814985972122475,HOLD
2025-02-12,24006.2421875,0.47613822949805934,HOLD
2025-02-13,23620.599609375,0.4785033063429333,HOLD
2025-02-16,23524.1875,0.5070334029850044,HOLD
2025-02-17,23630.240234375,0.48768378331882173,HOLD
2025-02-18,23755.57421875,0.4646422158144744,HOLD
2025-02-19,23668.8046875,0.4838350323959245,HOLD
2025-02-20,23533.830078125,0.48880698476889756,HOLD
2025-02-23,23051.77734375,0.499220931260267,HOLD
2025-02-24,22955.365234375,0.559222661125323,BUY
2025-02-25,23234.95703125,0.5235545789733395,HOLD
2025-02-26,23206.033203125,0.4941340378420888,HOLD
2025-02-27,22936.083984375,0.5015963094325127,HOLD
2025-03-02,23466.341796875,0.4521701861903111,HOLD
2025-03-03,22540.80078125,0.45447828750607144,HOLD
2025-03-04,23244.59765625,0.43305566036374943,HOLD
2025-03-05,23909.830078125,0.4691701366603151,HOLD
2025-03-06,23909.830078125,0.4811900752532163,HOLD
2025-03-09,22993.9296875,0.47377859741327294,HOLD
2025-03-10,22627.5703125,0.5014463153948857,HOLD
2025-03-11,23572.39453125,0.4288269982404296,HOLD
2025-03-12,23292.802734375,0.4706595239044718,HOLD
2025-03-13,23909.830078125,0.40875367816804675,HOLD
2025-03-16,24295.47265625,0.4186435853430784,HOLD
2025-03-17,24440.08984375,0.4456980687029789,HOLD
2025-03-18,24391.884765625,0.44295989437676453,HOLD
2025-03-19,24343.677734375,0.44585629377833347,HOLD
2025-03-20,24324.396484375,0.45207110515921956,HOLD
2025-03-23,24652.193359375,0.44750168582217964,HOLD
2025-03-24,25114.962890625,0.42213580586738564,HOLD
2025-03-25,25375.271484375,0.4410581736694701,HOLD
2025-03-26,25645.22265625,0.4375544516531641,HOLD
2025-03-27,25037.8359375,0.4033563636289692,HOLD
2025-03-30,24102.65234375,0.5216157619701751,HOLD
2025-03-31,24411.166015625,0.5523111941629177,BUY
2025-04-01,24199.0625,0.5758984589984719,BUY
2025-04-02,22955.365234375,0.6119102867942169,BUY
2025-04-03,21403.154296875,0.6288113065379516,BUY
2025-04-06,21567.052734375,0.6474451622625303,BUY
2025-04-07,22627.5703125,0.5299009067890177,HOLD
2025-04-08,22078.029296875,0.6507890309784408,BUY
2025-04-09,22781.826171875,0.42298037265011496,HOLD
2025-04-10,22405.826171875,0.44465488800261305,HOLD
2025-04-13,22704.69921875,0.46146394437972676,HOLD
2025-04-14,23475.982421875,0.4207723975796898,HOLD
2025-04-15,23398.85546875,0.44531478443583294,HOLD
2025-04-16,23524.1875,0.4292194308997591,HOLD
2025-04-21,23813.419921875,0.43031092813836963,HOLD
2025-04-22,24777.525390625,0.4328513816999049,HOLD
2025-04-23,24970.34765625,0.4297136171919819,HOLD
2025-04-24,25568.09375,0.4107027754427214,HOLD
2025-04-27,25462.041015625,0.4190293658863109,HOLD
2025-04-28,25577.734375,0.39103727354748585,HOLD
2025-04-29,25336.70703125,0.41434097073439824,HOLD
2025-05-04,25741.6328125,0.39614754468561175,HOLD
2025-05-05,25211.375,0.44528447300750784,HOLD
2025-05-06,25645.22265625,0.40046749189382075,HOLD
2025-05-07,25452.400390625,0.4639127746532808,HOLD
2025-05-08,25982.658203125,0.4205982107420582,HOLD
2025-05-11,26156.197265625,0.46869170941651467,HOLD
2025-05-12,26271.890625,0.4515398469981703,HOLD
2025-05-13,26753.943359375,0.45512210686804644,HOLD
2025-05-14,26966.046875,0.4731701630184787,HOLD
2025-05-15,27467.3828125,0.4556276979212702,HOLD
2025-05-18,27023.892578125,0.4497063952612042,HOLD
2025-05-19,26869.63671875,0.46924821387732346,HOLD
2025-05-20,26898.560546875,0.4917961650915471,HOLD
2025-05-21,26744.302734375,0.4934343790547857,HOLD
2025-05-22,26850.0,0.5086876630254802,HOLD
2025-05-25,27120.0,0.5281421064837414,HOLD
2025-05-26,26770.0,0.5101722755165717,HOLD
2025-05-27,27430.0,0.5024363003437969,HOLD
2025-05-28,27000.0,0.5099467297495779,HOLD
2025-05-29,26980.0,0.5360157380900987,HOLD
2025-06-01,27090.0,0.5197592009220112,HOLD
2025-06-02,26880.0,0.5287029652039421,HOLD
2025-06-03,27190.0,0.5284492027844379,HOLD
