Date,Close,p_up_next_5d,signal
2025-01-01,2524.90673828125,0.4560277112245239,HOLD
2025-01-02,2534.02197265625,0.44402949696581034,HOLD
2025-01-05,2544.960205078125,0.466265578253881,HOLD
2025-01-06,2543.13720703125,0.4851947035621746,HOLD
2025-01-07,2552.25244140625,0.48241105496544867,HOLD
2025-01-08,2552.25244140625,0.49871064035332957,HOLD
2025-01-09,2515.79150390625,0.6291506651005159,BUY
2025-01-12,2559.54443359375,0.5147893904325878,HOLD
2025-01-13,2561.367431640625,0.5041873196738215,HOLD
2025-01-14,2605.120361328125,0.5211368128919772,HOLD
2025-01-15,2625.173828125,0.4878167122534351,HOLD
2025-01-16,2630.64306640625,0.46188957728290897,HOLD
2025-01-19,2652.519287109375,0.4709966083528674,HOLD
2025-01-20,2625.173828125,0.5367290559558702,HOLD
2025-01-21,2643.404296875,0.5127486124532902,HOLD
2025-01-22,2617.881591796875,0.5801335775979409,BUY
2025-01-23,2625.173828125,0.5262155871186791,HOLD
2025-01-26,2603.29736328125,0.6179193101250978,BUY
2025-01-27,2590.5361328125,0.6037087397832477,BUY
2025-01-28,2594.18212890625,0.6057751213404697,BUY
2025-01-29,2621.52783203125,0.5065490230822419,HOLD
2025-01-30,2623.350830078125,0.518492296316604,HOLD
2025-02-02,2612.41259765625,0.5672966511431617,BUY
2025-02-03,2625.173828125,0.512221831903928,HOLD
2025-02-04,2614.235595703125,0.582341611435068,BUY
2025-02-05,2643.404296875,0.5356082466571145,HOLD
2025-02-06,2628.81982421875,0.6005018731144504,BUY
2025-02-09,2685.333984375,0.500827052510118,HOLD
2025-02-10,2698.09521484375,0.4790945839618309,HOLD
2025-02-11,2698.09521484375,0.4833839915543011,HOLD
2025-02-12,2732.733154296875,0.490331368487111,HOLD
2025-02-13,2688.980224609375,0.5663547951589316,BUY
2025-02-16,2725.44091796875,0.4660078501655669,HOLD
2025-02-17,2745.494384765625,0.4892991823641824,HOLD
2025-02-18,2729.0869140625,0.49281255537905816,HOLD
2025-02-19,2703.564453125,0.5856539260825475,BUY
2025-02-20,2710.856689453125,0.5273172095374545,HOLD
2025-02-23,2634.2890625,0.5693850454000621,BUY
2025-02-24,2632.466064453125,0.5557163116207356,BUY
2025-02-25,2637.93505859375,0.5213050599830575,HOLD
2025-02-26,2685.333984375,0.5046502063683859,HOLD
2025-02-27,2625.173828125,0.5517678267871319,BUY
2025-03-02,2648.873291015625,0.4780224692548029,HOLD
2025-03-03,2606.943359375,0.5724448790696637,BUY
2025-03-04,2586.89013671875,0.5296166410092238,HOLD
2025-03-05,2610.589599609375,0.5065019506639004,HOLD
2025-03-06,2583.243896484375,0.49746383864072913,HOLD
2025-03-09,2588.713134765625,0.5269132255641218,HOLD
2025-03-10,2526.729736328125,0.5471547013766181,HOLD
