Date,Open,High,Low,Close,Volume
2002-03-05 00:00:00+01:00,1346.6788681239298,1404.3936767578125,1335.1359063971531,1404.3936767578125,1726700
2002-03-06 00:00:00+01:00,1396.0572704315186,1443.5116746629988,1379.3841013772148,1436.4576416015625,898300
2002-03-07 00:00:00+01:00,1449.9244086371527,1474.934161815768,1437.098894186581,1471.727783203125,763700
2002-03-08 00:00:00+01:00,1452.4896280389082,1463.3913161963746,1438.3815610115987,1462.1087646484375,402000
2002-03-11 00:00:00+01:00,1445.435348305784,1448.6417266294436,1379.3839548383946,1384.51416015625,439600
2002-03-12 00:00:00+01:00,1378.1013082490808,1378.1013082490808,1350.5264565716911,1362.710693359375,598400
2002-03-13 00:00:00+01:00,1365.9172258649555,1365.9172258649555,1337.7010953776041,1346.678955078125,1984100
2002-03-14 00:00:00+01:00,1346.6790282967695,1346.6790282967695,1321.027999186355,1330.005859375,1467300
2002-03-15 00:00:00+01:00,1330.005859375,1330.005859375,1330.005859375,1330.005859375,0
2002-03-18 00:00:00+01:00,1327.4407583383413,1333.853515625,1304.996107835036,1333.853515625,1481400
2002-03-19 00:00:00+01:00,1333.8535533665458,1345.3965168091408,1321.028038430329,1327.4407958984375,1031700
2002-03-20 00:00:00+01:00,1321.6692030552456,1349.8853335425968,1321.0279273623512,1346.678955078125,1188200
2002-03-21 00:00:00+01:00,1346.6788247726881,1404.3936315486606,1346.6788247726881,1397.339599609375,1251000
2002-03-22 00:00:00+01:00,1407.600042022435,1449.282958984375,1375.5362597440196,1449.282958984375,1546800
2002-03-25 00:00:00+01:00,1449.9244656461624,1455.6959473758463,1410.80664503386,1420.42578125,139200
2002-03-26 00:00:00+01:00,1417.219482421875,1417.219482421875,1397.981208904836,1417.219482421875,667600
2002-03-27 00:00:00+01:00,1405.0351499495969,1414.0130103326615,1391.568359375,1391.568359375,295200
2002-03-28 00:00:00+01:00,1391.568359375,1391.568359375,1391.568359375,1391.568359375,0
