Date,Close,High,Low,Open,Volume
,MOL.BD,MOL.BD,MOL.BD,MOL.BD,MOL.BD
2003-11-07,359.2862548828125,364.775731657187,357.3649380117814,359.5607287215312,1748000
2003-11-10,359.2862548828125,362.30546710871846,356.81599033434395,361.2075717538436,2467200
2003-11-11,359.0118103027344,363.12891821905015,356.81601941403267,359.56075802490983,1756000
2003-11-12,363.4032897949219,365.05013249792,356.8159189829293,359.0117092535935,3172000
2003-11-13,372.73553466796875,373.28448243625735,366.1481614485054,367.5205308692269,3686400
2003-11-14,360.9330749511719,370.53965869511944,358.4628105598711,367.794920482563,4860800
2003-11-17,360.3841247558594,362.3054414910391,355.4435960082543,359.5607032979252,3032000
2003-11-18,363.6778259277344,365.0501950821787,360.65861378795694,360.65861378795694,2630400
2003-11-19,359.5607604980469,362.8544468537542,357.9139173201932,361.75655140185177,1400800
2003-11-20,344.7391357421875,362.0309872961348,341.9943974002911,361.4820396277555,8367200
2003-11-21,346.93487548828125,347.7582968699781,340.3475044347063,343.64118996149375,3412800
2003-11-24,350.2286071777344,350.2286071777344,344.4646567461259,348.5817641972748,985600
2003-11-25,346.93487548828125,350.22856101506875,345.01355893098855,349.9540872211698,2565600
2003-11-26,345.2880554199219,354.62016502586573,341.44542205276855,351.60095309453095,3464000
2003-11-27,342.81781005859375,345.83702215678795,335.9559643808797,345.2880745025708,4511200
2003-11-28,338.9751892089844,341.44545374573,334.85808164774164,340.0730845586491,4637600
2003-12-01,346.3859558105469,348.58174633866446,337.6027936980766,337.6027936980766,2673600
2003-12-02,337.60284423828125,345.28811223720146,335.9560010956555,340.89653052353276,2226400
2003-12-03,332.11328125,341.44538997933887,327.44722688533056,340.8964424070248,5192800
2003-12-04,329.36859130859375,334.0346463521322,329.36859130859375,332.6622772216797,1713600
2003-12-05,334.85809326171875,337.32835788414127,327.9962470883229,331.2899332515529,2802400
2003-12-08,333.2112121582031,337.32831939244784,325.5259453209464,334.85805505190103,7672000
2003-12-09,339.7986145019531,348.03282971605535,338.4262452996027,340.3475621828933,6862400
2003-12-10,332.11328125,342.817758910124,326.07485795454545,340.6219686208678,7091200
2003-12-11,337.328369140625,338.4262645650046,328.54520574558836,333.7602090113914,2696800
2003-12-12,337.60284423828125,338.70073966669844,333.21126252461255,337.60284423828125,2187200
2003-12-15,340.8965148925781,344.19020102680594,338.42625029190725,340.34756720354017,2188800
2003-12-16,348.0328063964844,348.0328063964844,335.9559582249975,341.99438231074095,2627200
2003-12-17,341.99444580078125,350.5031358648456,341.99444580078125,348.58181875360526,1724000
2003-12-18,347.4837646484375,347.4837646484375,341.9942896934859,345.5624484142045,4681600
2003-12-19,345.8370666503906,350.77759617396765,345.8370666503906,346.66048823765345,3141600
2003-12-22,345.8370666503906,348.3073314121791,344.73917120070683,348.3073314121791,1826400
2003-12-23,348.3072204589844,350.228536883896,345.836956484098,345.836956484098,2676800
2003-12-24,348.3072204589844,348.3072204589844,348.3072204589844,348.3072204589844,0
2003-12-25,348.3072204589844,348.3072204589844,348.3072204589844,348.3072204589844,0
2003-12-26,348.3072204589844,348.3072204589844,348.3072204589844,348.3072204589844,0
2003-12-29,349.9541015625,349.9541015625,346.11146829044117,346.38594209558823,597600
2003-12-30,348.8561706542969,351.326434647915,348.5816968772282,348.5816968772282,1484800
2003-12-31,346.660400390625,349.6796121121585,346.660400390625,348.58171694069176,870400
2004-01-01,346.660400390625,346.660400390625,346.660400390625,346.660400390625,0
2004-01-02,346.660400390625,346.660400390625,346.660400390625,346.660400390625,0
2004-01-05,354.34564208984375,354.8945896376204,348.58169283818864,350.2285354815187,2256800
2004-01-06,354.07122802734375,356.8159662291061,353.52228038699127,355.1691233080487,1433600
2004-01-07,351.32647705078125,355.71805801391605,348.581738948822,355.71805801391605,2446400
2004-01-08,353.5221862792969,354.6200812677419,351.6008700495181,351.6008700495181,1251200
2004-01-09,353.2477722167969,354.0711935972556,348.58171772753076,349.954086694962,2760000
2004-01-12,352.6988830566406,353.52230457350436,349.130723150231,353.52230457350436,1377600
2004-01-13,353.5221862792969,354.07113377351936,350.7774488081843,351.3263963024068,3588800
2004-01-14,355.16912841796875,355.7180760662191,352.6988640008422,354.0712331214681,4216800
2004-01-15,355.16912841796875,356.5414975385946,352.6988640008422,354.0712331214681,2647200
2004-01-16,358.46282958984375,359.5607249331511,354.07124821661444,354.07124821661444,3594400
2004-01-19,361.4820251464844,362.3054466160663,358.4628130913505,359.56070838412643,3220000
2004-01-20,360.1096496582031,364.50123075159587,357.9138591115068,361.20754493155135,3599200
2004-01-21,358.1883239746094,359.56069303198336,354.0712168024874,359.56069303198336,1448800
2004-01-22,359.5607604980469,360.1097082239981,356.8160218682908,359.5607604980469,705600
2004-01-23,360.1096496582031,360.1096496582031,358.18833292984385,358.18833292984385,208000
2004-01-26,361.2075500488281,362.3054453377303,356.81596889321924,359.56070711547477,1340000
2004-01-27,360.9330749511719,364.2267608062396,360.9330749511719,361.48202259368315,1978400
2004-01-28,365.87359619140625,366.1480700070037,359.5606984326648,360.65859369505466,2435200
2004-01-29,365.0501708984375,365.5991185238487,362.30543277138156,362.30543277138156,1894400
2004-01-30,363.1288757324219,364.50124487729124,361.75650658755256,364.50124487729124,896000
2004-02-02,368.89276123046875,370.53960391453336,362.5798642748878,362.5798642748878,4332800
2004-02-03,367.7948913574219,371.9119983502288,366.14804856029906,368.06936515694235,1562400
2004-02-04,365.87359619140625,367.520439084991,364.501227113419,366.1480700070037,1354400
2004-02-05,366.69696044921875,366.9714342220101,362.5798538573488,363.1288014029314,976800
2004-02-06,368.06939697265625,368.3438707959021,365.32465874019795,367.52044932616457,1363200
2004-02-09,374.38226318359375,374.6567369835817,368.0693657838704,369.1672609838223,2942400
2004-02-10,377.1270446777344,377.95046617266394,373.8333586980161,373.8333586980161,4416000
2004-02-11,377.6759948730469,379.04836404046347,373.28441353731375,377.1270472060802,3704000
2004-02-12,376.5780334472656,378.49934994444556,371.0885577410373,376.3035596619542,3528800
2004-02-13,378.2250671386719,379.87191068209137,375.48032789963946,379.32296283428485,2860000
2004-02-16,376.8525390625,380.1462247644301,376.0291176370175,376.5780652540058,1775200
2004-02-17,367.7948913574219,376.0291053430358,363.6777843646149,376.0291053430358,10838400
